id	KSGS1	KSGS2	KSGS5	KSGS6	KSGS1_GB	KSGS2_GB	KSGS5_GB	KSGS6_GB	TR_young	TR_old	TR_young_log	TR_old_log
4931562F17Rik	8	11	3	5	217	187	215	263	0.047029703	0.0167364017	-1.3276277642	-1.7763379096
Myh13	2	1	7	8	425	341	373	523	0.0039164491	0.0167410714	-2.4071075149	-1.7762167506
Nxpe2	9	4	5	9	398	514	411	425	0.014254386	0.0167464115	-1.846051486	-1.7760782418
Dmbx1	8	3	5	2	218	167	191	227	0.0285714286	0.0167464115	-1.5440680444	-1.7760782418
1711111E14Rik	4	1	3	9	339	226	293	423	0.0088495575	0.0167597765	-2.0530784435	-1.7757317763
Gm21164	1	1	1	2	114	57	66	113	0.0116959064	0.0167597765	-1.9319661147	-1.7757317763
Slc15a3	14	2	6	12	381	334	452	622	0.0223776224	0.0167597765	-1.6501860591	-1.7757317763
A731191N16Rik	7	2	3	3	211	142	127	231	0.0254957507	0.0167597765	-1.5935321959	-1.7757317763
Vmn2r91	4	3	4	1	161	115	127	171	0.0253623188	0.0167785235	-1.5958110421	-1.7752462597
2211418I21Rik	67	61	65	45	3611	2587	2887	3668	0.0206518232	0.0167810831	-1.6850416023	-1.7751800109
1711111K19Rik	6	7	11	3	363	419	481	353	0.0166240409	0.0167865707	-1.7792634008	-1.775038015
Ccdc181	5	7	9	9	499	456	474	598	0.012565445	0.0167910448	-1.9008221255	-1.7749222803
RP23-325P15.2	11	4	8	3	339	261	266	389	0.025	0.0167938931	-1.6020599913	-1.7748486148
Lncenc1	12	11	2	17	668	545	493	638	0.0189612531	0.0167992927	-1.7221329648	-1.774709004
RP23-213D1.2	3	7	2	4	179	137	158	199	0.0316455696	0.0168067227	-1.4996870826	-1.7745169657
Gm3839	12	29	7	8	538	814	411	481	0.0303254438	0.0168161435	-1.5181928349	-1.7742735953
Clip4	9	9	9	11	582	557	513	676	0.0158033363	0.0168208579	-1.801251219	-1.774151859
Bcas1	7	1	11	12	719	511	576	791	0.006504065	0.0168251646	-2.1868151244	-1.7740406786
1711147F17Rik	3	6	6	15	624	493	481	767	0.0080572963	0.0168269231	-2.0938106637	-1.7739952906
8431419K12Rik	4	11	5	2	219	143	178	238	0.0414364641	0.0168269231	-1.3826173115	-1.7739952906
Tpst1	78	156	41	22	1711	2514	2318	1425	0.0553846154	0.0168314186	-1.2566108559	-1.7738792777
RP23-268C22.3	19	6	11	11	663	661	818	489	0.0188821752	0.0168324407	-1.7239479764	-1.7738529068
Ak7	13	9	16	19	973	887	1136	941	0.011827957	0.0168512277	-1.9270902634	-1.7733684522
Pmvk	1	3	12	6	495	551	725	343	0.0038240918	0.0168539326	-2.4174716932	-1.7732987476
Gpd2	113	129	112	41	3713	3265	6312	2759	0.0346804242	0.0168669386	-1.4599155991	-1.7729637361
Platr25	1	1	3	1	73	56	112	125	0.015503876	0.0168776371	-1.8095597146	-1.7726883547
Ptger3	14	12	11	9	695	527	517	668	0.0212765957	0.0168776371	-1.6720978579	-1.7726883547
Gm6558	3	4	3	1	178	111	98	139	0.0242214533	0.0168776371	-1.6157998027	-1.7726883547
Tmprss4	9	11	8	11	514	416	611	514	0.0215053763	0.0168888889	-1.6674529529	-1.7723989215
Slc29a4	5	7	4	6	292	231	275	317	0.0229445507	0.0168918919	-1.6393204428	-1.7723217067
Ndrg4	8	2	8	5	431	326	381	388	0.0132100396	0.0169050715	-1.8790958795	-1.7719829875
Tdrd1	9	2	5	8	411	269	355	414	0.0161764706	0.0169050715	-1.7911162275	-1.7719829875
Rpgr	17	9	14	3	511	521	487	518	0.0251937984	0.0169154229	-1.5987063493	-1.7717171404
